"IdCliente","Apellido","ScoringCrediticio","Pais","Genero","Edad","IdCuenta","BalanceCuenta","CantidadProductos","TarjetaCredito","Activo","SalarioEstimado","DejaBanco"
15802207,"Ibezimako",769,"Alemania","Masculino",43,4426,110182.54,2,1,1,87537.32,0
15725639,"Ignatyev",793,"Francia","Femenino",63,5052,116270.72,1,1,1,184243.25,0
15605698,"Harrison",746,"Francia","Masculino",58,9306,0,3,1,1,80344.96,1
15806913,"Bishop",670,"Francia","Femenino",54,5935,95507.12,1,1,1,63213.31,0
15613713,"Kozlova",644,"Francia","Masculino",30,3328,44928.88,1,1,1,10771.46,0
15712608,"Costa",787,"Alemania","Femenino",42,9269,74483.97,2,0,1,44273.91,0
15590286,"Fairley",611,"Francia","Femenino",40,7503,125879.29,1,1,0,93203.43,0
15785798,"Uchechukwu",850,"Francia","Masculino",40,1452,0,2,0,1,119232.33,0
15576517,"Everingham",445,"Alemania","Femenino",34,2582,131082.17,2,1,1,70618,0
15750258,"Ann",675,"Francia","Femenino",32,2129,155663.31,1,1,0,97658.66,0
15744942,"Steele",638,"España","Femenino",55,5975,155828.22,1,0,1,108987.25,1
15750649,"Uwakwe",744,"Francia","Femenino",44,3158,0,2,1,1,189016.14,0
15613140,"Mellor",565,"Francia","Masculino",34,6573,0,1,1,1,63173.64,0
15706128,"Zhdanov",632,"Francia","Femenino",21,7161,0,2,1,0,84008.66,0
15607133,"Shih",717,"España","Femenino",49,2571,110864.38,2,1,1,124532.9,1
15622017,"Bruno",773,"España","Femenino",33,2903,0,1,1,1,98820.09,0
15620746,"Lorenzo",632,"Francia","Masculino",42,9195,126115.6,1,1,0,100998.5,0
15753888,"Johnston",607,"España","Femenino",62,6826,108004.64,1,1,1,23386.77,1
15657529,"Chin",714,"Alemania","Masculino",53,5288,99141.86,1,1,1,72496.05,1
15738318,"Kung",800,"Francia","Femenino",40,2965,97764.41,1,1,0,98640.15,1
15738721,"Graham",773,"España","Masculino",41,1097,102827.44,1,0,1,64595.25,0
15583580,"Chiawuotu",566,"Alemania","Femenino",35,5720,123042,1,1,0,66245.44,1
15598586,"Wetherspoon",680,"Francia","Masculino",31,8660,113292.17,1,1,1,122639.73,0
